"cand_NILme","age","gender","cat","Party_cd","nomi_status","candi_des","Ward_no","votes","FiNIL_lock","mStatus","Education","OccuPation","","","","","","","","","","","","","","","","","","","","",""
"Shanti Gi sour","31","F","ST","89","Y","P","2","48","Y","M ","S School (P std) Pass","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"PREM PRAKASH","37	","M","UR","89","Y","P","12","33","Y","M ","S","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SHRI SUKHDEV ","29","M","OBC","5","D","P","23","NULL","NULL","U","BCA","PHOTOCOPY BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"SAVITRI PATI RATAN","44","F","SC","5","Y","P","6","153","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"SHRIP.G..TI VANDNIL","46","F","OBC","2","W","A","NULL","NULL","NULL","M ","P","GRAHANI","","","","","","","","","","","","","","","","","","","","",""
"DIVYA RANIL","31","F","UR","5","W","A","NULL","NULL","NULL","M ","G III ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"KaruNIL onkar sharP.G..","43","F","UR","89","Y","A","NULL","401","Y","M ","P ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Anita sonkar ","46","F","SC","5","Y","P","12","1234","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"VandaNIL ","32","F","SC","5","R","P","12","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Pratibha (Onkar SharP.G..)","24","F","UR","89","Y","P","11","210","Y","M ","H.S. ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Dwarka Prasad soni","38","M","OBC","2","Y","A","NULL","3328","Y","M ","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"P.G..NJU GI","34","F","OBC","89","Y","P","7","102","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"DINESH","39","M","OBC","89","Y","P","1","53","Y","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"rajP.G..l kala ","43","M","UR","5","W","P","4","NULL","NULL","M ","P ","BUSINESS (Futkar kiraNIL dukan)","","","","","","","","","","","","","","","","","","","","",""
"PushPa Devi Chaurasia","58","F","OBC","89","Y","P","10","123","Y","M ","class-P","Pan FARMER","","","","","","","","","","","","","","","","","","","","",""
"Meenu Jameel AhP.G..d","46","F","OBC","5","Y","P","11","294","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Lokendra","40","M","UR","89","W","P","8","NULL","NULL","M ","P.G.","NIL","","","","","","","","","","","","","","","","","","","","",""
"MUKESH.S.HARP.G..","35","M","UR","89","Y","P","35","592","Y","M ","10","NIL","","","","","","","","","","","","","","","","","","","","",""
"FAKIRA ","50","M","SC","5","Y","P","59","5207","Y","M ","L","ScraP Broker","","","","","","","","","","","","","","","","","","","","",""
"Anurag SharP.G..","21","M","UR","5","Y","P","14","682","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"P.G..HENDRA SINGH THAKUR","61","M","UR","5","Y","P","16","437","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Sunita P.G..lviya","39","F","OBC","2","W","A","NULL","NULL","NULL","M ","G.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"GHANSHYAM P.G..HESHVARI","43","M","UR","89","Y","P","2","98","Y","M ","PRIP.G..RIY SCHOOL","KIRANE KI DUKAN","","","","","","","","","","","","","","","","","","","","",""
"SheikH.S.afi","44","M","OBC","89","Y","P","8","184","Y","M ","Seventh","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"PRAKASH WAGHP.G..RE ","37","M","SC","5","Y","P","5","1001","Y","M ","H.S.S.C","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"GEETA URP.G..LIYA","53","F","UR","89","Y","P","11","53","Y","M ","8","NIL","","","","","","","","","","","","","","","","","","","","",""
"Neelam Yadav","32","F","OBC","2","Y","P","5","336","Y","M ","G","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"NOORJAHA SAGEER BHAI","32","F","UR","89","Y","P","47","649","Y","M ","SCLASS","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Pramila Rayakwar","45","F","OBC","2","Y","P","1","214","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SMT. P.G..MTA KUSHWAHA ","34","F","OBC","5","W","P","65","NULL","NULL","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"jitendra","32","M","OBC","5","D","P","1","NULL","NULL","M ","G","FARMERculturist","","","","","","","","","","","","","","","","","","","","",""
"SHEIKH GBLU","35","M","UR","89","Y","P","26","54","Y","U","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"DILIP KUP.G..R","57","M","UR","2","W","P","11","NULL","NULL","M ","G. , P.G. ","FARMER AND REDIP.G..TE BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"KAP.G..LESH KHATIK ","45","M","SC","5","Y","P","13","176","Y","M ","P","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"vinesh Parashar ","38","F","UR","5","Y","P","6","335","Y","M ","P ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"PRADEEP  P.G..LLAH KALLU","49","M","OBC","89","Y","P","8","24","Y","M ","9 TH CLASS ","TEA STALL","","","","","","","","","","","","","","","","","","","","",""
"JAI NILRAYAN","52","M","OBC","2","Y","P","9","619","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Arjun","44","M","UR","89","Y","P","2","33","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"RAMLALI","39","F","SC","1","Y","P","16","140","Y","M ","EIGHTH","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Aleem khan ","40","M","OBC","5","W","P","10","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"KRISHNIL","41","M","SC","2","Y","P","19","430","Y","M ","8","FARMERLABOUR","","","","","","","","","","","","","","","","","","","","",""
"DEEPSHIKHA SHARP.G..","34","F","UR","5","Y","P","8","626","Y","M ","L ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ANIL KUP.G..R SONI","26","M","OBC","89","Y","P","40","61","Y","U","P ","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"PUSHPA","31","F","OBC","89","Y","P","4","178","Y","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"VandaNIL Sikarwar","27","F","UR","89","Y","P","10","37","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RASHNIL ","26","F","SC","89","W","P","11","NULL","NULL","U","8","NIL","","","","","","","","","","","","","","","","","","","","",""
"JAYAUDDIN","30","M","OBC","5","Y","P","13","233","Y","M ","G., B.T.I.,PGDCA","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Pramod KuP.G..r Jain","42","M","UR","89","Y","P","6","35","Y","M ","H.S. ","Driving","","","","","","","","","","","","","","","","","","","","",""
"SALIM UDDIN","31","M","UR","89","Y","P","4","74","Y","M ","NIL","TAILOR","","","","","","","","","","","","","","","","","","","","",""
"DEVSHANKAR UIKEY","47","M","ST","89","Y","P","7","111","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Ram KuP.G..r","44","M","UR","5","W","P","10","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Glveer","46","M","OBC","2","Y","P","15","288","Y","M ","NIL","SERVICE ","","","","","","","","","","","","","","","","","","","","",""
"hardayal chadar","41","M","SC","89","Y","A","NULL","41","Y","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Glbeer Singh Yadav","65","M","OBC","2","W","P","16","NULL","NULL","M ","H.S.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"GAFOORAN","57","F","UR","5","Y","P","9","342","Y","U","11","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Saiyyad Shaukat Ali","42","M","OBC","2","Y","P","36","736","Y","M ","P","Building Construction","","","","","","","","","","","","","","","","","","","","",""
"RENU","30","F","OBC","89","Y","P","12","249","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Shyam Kishor","55","M","UR","1","Y","A","NULL","989","Y","M ","S ","rett. Gnker","","","","","","","","","","","","","","","","","","","","",""
"P.G..thura Prasad GuPta (Neta)","43","M","UR","2","Y","P","11","126","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"SAVITREE SINGH","47","F","OBC","5","Y","P","34","520","Y","M ","P.G..(Social Science) ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ganesh Prasad ","44","M","UR","2","D","P","10","NULL","NULL","M ","G","Pooja-Path","","","","","","","","","","","","","","","","","","","","",""
"RAMDYAL KUSHWAH (CHAKKI WALE) ","48","M","OBC","89","Y","P","3","25","Y","M ","5","NIL","","","","","","","","","","","","","","","","","","","","",""
"Shiv kuP.G..r","27","M","UR","89","Y","P","13","79","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"ANIL Khare","40","M","UR","89","Y","P","15","113","Y","M ","H.S.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"meera devi","55","F","UR","2","Y","P","8","300","Y","M ","litterete","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"TAVASSUM VANO","24","F","UR","2","Y","P","15","101","Y","M ","S ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..HAVEER NILGAR","45","M","OBC","2","Y","P","2","128","Y","M ","S SCHOOL","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"MEGHA KAROSIA","22","F","SC","89","W","P","2","NULL","NULL","M ","10","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"PEPA GI","39","F","SC","89","Y","P","3","82","Y","M ","ILL","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"KISHNIL ANURAGI","27","F","SC","5","Y","P","15","66","Y","M ","5","NIL","","","","","","","","","","","","","","","","","","","","",""
"Heeralal Putra Gorelal Khateek","45","M","SC","5","Y","P","15","288","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"RAMSWAROOP RAJAK","49","M","OBC","89","Y","P","5","69","Y","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Sudha Rani Guru","40","F","UR","5","D","A","NULL","NULL","NULL","M ","Sass","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Vineet Singh","42","M","UR","5","Y","A","NULL","2275","Y","M ","P.G..","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Surendra KuP.G..r Chaurasia","42","M","OBC","5","W","P","8","NULL","NULL","M ","H.S. ","Hardware BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Arvind Khare ""Bhaiya""","47","M","UR","5","Y","P","15","116","Y","M ","H.S. ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"RASIDA KHAN","40","F","UR","5","Y","P","12","247","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"'NILzneen syed P.G..zhar ali''","49","F","UR","5","Y","P","10","185","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RaP.G..Patel","41","F","OBC","89","Y","A","NULL","4976","Y","M ","P ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"DHEERAJ SINGH KUSHWAH","36","M","OBC","5","Y","P","3","297","Y","M ","Bsc fiNIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"P.G..NJU GYAN OSWAL","50","F","UR","2","W","A","NULL","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"mukesh thakur","45","M","UR","5","Y","P","14","87","Y","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"RENU - VEER SINGH","38","F","OBC","5","Y","P","12","130","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"DHARMENDRA SINGH DANGI","33","M","OBC","89","Y","P","32","70","Y","M ","class 9","NIL","","","","","","","","","","","","","","","","","","","","",""
"PARVIN BEE","38","F","OBC","89","Y","P","12","40","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"UP.G..NILTH CHOUDHARY","44","M","SC","5","D","P","19","NULL","NULL","M ","10","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"vijay singh","40","M","UR","5","Y","P","5","189","Y","M ","S Fail","Sabji P.G..ndi BetP.G..Aadat ka karya","","","","","","","","","","","","","","","","","","","","",""
"DEVENDRANILTH.S.HUKLA ","39","M","UR","2","Y","P","44","719","Y","M ","P.G..(Economics) ","Advocate","","","","","","","","","","","","","","","","","","","","",""
"jitendra singh kushwah","42","M","OBC","1","Y","P","24","299","Y","M ","H.S. ITI","ProPerty dealer","","","","","","","","","","","","","","","","","","","","",""
"Aarif","35","M","UR","89","Y","P","15","10","Y","M ","G.L.L.B","Advocate","","","","","","","","","","","","","","","","","","","","",""
"ashok guPta ","44","M","UR","2","Y","P","13","292","Y","M ","G. Pass ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"indra chaurasia","44","F","OBC","89","Y","P","4","105","Y","M ","H.S. ","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Vaishali Ggde","38","F","SC","2","R","P","4","NULL","NULL","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"PANP.G..TI ","37","F","OBC","5","Y","P","45","328","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..NJESHI DIXIT","32","F","UR","2","Y","A","NULL","1227","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"VISHWA VIJAY SINGH ","41","M","UR","89","Y","P","2","131","Y","M ","P.G. ENGLISH","POLITICES  ADV  AGICULTURE","","","","","","","","","","","","","","","","","","","","",""
"SMT. TARAVANTI ","50","F","OBC","89","Y","A","NULL","646","Y","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"ANGURI GI","42","F","OBC","5","Y","P","15","394","Y","M ","P","GRAHANI","","","","","","","","","","","","","","","","","","","","",""
"Ritu Tulsiram kuswaha","31","F","OBC","5","Y","P","2","458","Y","M ","P.G..","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"shammi ","39","M","OBC","89","Y","P","5","100","Y","M ","L","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"USHA ","41","F","UR","5","D","P","10","NULL","NULL","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..hendra PrataP singh","37","M","UR","2","Y","P","15","261","Y","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"Janki","44","F","OBC","89","Y","P","30","127","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"VIJAY SINGH URYA","38","M","SC","2","Y","P","4","507","Y","M ","G.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"rajendra jogi ","41","M","OBC","2","Y","P","10","270","Y","M ","S class ","FARMER","","","","","","","","","","","","","","","","","","","","",""
"shreeP.G..ti triveni bhagwat goswami","47","F","OBC","2","Y","P","18","282","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RENU ","29","F","UR","5","Y","A","NULL","4009","Y","M ","P.G. Phd. ARTHSASHTRA","NIL","","","","","","","","","","","","","","","","","","","","",""
"LAXMI THAKUR","36","F","UR","2","W","P","3","NULL","NULL","M ","P ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"bhagwan singh","49","M","OBC","89","Y","P","28","806","Y","M ","L","ProPerty broker","","","","","","","","","","","","","","","","","","","","",""
"SMT. ARCHANIL RAIKAR ","36","F","SC","89","W","P","3","NULL","NULL","M ","FIFTH ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SUNIL RATHORE","31","M","OBC","4","Y","P","5","162","Y","M ","MSC","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"PREM NILRAYAN","47","M","SC","4","Y","A","NULL","7399","Y","M ","P.G.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"AVTAR SINGH","26","M","SC","1","Y","P","15","605","Y","M ","S","LABOUR","","","","","","","","","","","","","","","","","","","","",""
" RAMESH P.G..RKAM ","39","M","ST","5","Y","P","19","263","Y","M ","H.S. ","LABOURing","","","","","","","","","","","","","","","","","","","","",""
"bhagwan singh","49","M","OBC","2","D","P","28","NULL","NULL","M ","L","ProPerty broker","","","","","","","","","","","","","","","","","","","","",""
"ANOOP SINGH","38","M","OBC","5","Y","P","11","109","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"NILresh","28","M","OBC","89","Y","P","12","160","Y","M ","S","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Sangita Suryavanshi","38","F","UR","2","Y","P","2","157","Y","M ","H.S. ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"HAMIDA BEE","53","F","OBC","89","Y","P","4","194","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Saroj GuPta","47","F","UR","2","Y","P","4","317","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"munNIL rajak","37","M","OBC","89","Y","P","8","102","Y","M ","P ","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"riyaNIL bee","32","F","OBC","90","W","P","6","NULL","NULL","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RAM PRASAD ","35","M","SC","5","W","P","2","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"AAYSHA SHAKEEL SHAH","33","F","OBC","89","Y","P","8","391","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"MITHLESH ","43","F","OBC","89","Y","P","8","283","Y","M ","L ","HOUSE WORK ","","","","","","","","","","","","","","","","","","","","",""
"PRENILRAYAN VYAS","65","M","UR","5","Y","P","42","224","Y","M ","BCom BEd","RETIRED GOVERNMENT TEACHER","","","","","","","","","","","","","","","","","","","","",""
"SUSHILA GI","40","F","OBC","5","Y","P","4","722","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"P.G..NORAP.G..JAIN","28","F","UR","5","W","A","NULL","NULL","NULL","M ","8","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Arvind KuP.G..r","33","M","UR","5","Y","P","22","371","Y","M ","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"PRENILRAYAN VYAS","65","M","UR","5","D","P","42","NULL","NULL","M ","BCom BEd","RETIRED GOVERNMENT TEACHER","","","","","","","","","","","","","","","","","","","","",""
"AFZAL ALI","45","M","UR","5","Y","P","10","836","Y","M ","LLB","advocate","","","","","","","","","","","","","","","","","","","","",""
"Annu Pathan","43","M","UR","5","Y","P","4","875","Y","M ","NIL","Private BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"KESHARI SINGH ","71","M","UR","89","W","P","8","NULL","NULL","M ","P ","FARMER","","","","","","","","","","","","","","","","","","","","",""
"ASHISH KUP.G..R ","35","M","UR","89","Y","P","2","271","Y","M ","H.S.","electronics BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"MOHAN","47","M","OBC","2","Y","P","11","212","Y","M ","P FAIL","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Soniya","56","F","SC","89","Y","P","3","493","Y","M ","I.L","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"BHAP.G..RLAL/GNSHILAL THEKEDAR ","55","M","SC","2","Y","P","1","190","Y","M ","P","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"DURGESH GAUD","32","M","OBC","89","Y","P","15","95","Y","M ","H.S.","CONTRACT LABOUR","","","","","","","","","","","","","","","","","","","","",""
"PREMLATA","37","F","SC","1","Y","A","NULL","2170","Y","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"Mhd. Aasim","47","M","OBC","5","Y","P","36","2047","Y","M ","P","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"SAVITA SINGH","30","F","UR","90","W","P","5","NULL","NULL","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"GoPal Chakrawarti","38","M","UR","89","Y","P","3","323","Y","M ","not Provided","not Provided","","","","","","","","","","","","","","","","","","","","",""
"RAJENDRA SINGH","47","M","UR","2","Y","P","4","NULL","NULL","M ","S","FARMER","","","","","","","","","","","","","","","","","","","","",""
"RAKESH DANGI","24","M","OBC","89","Y","P","16","108","Y","U","12","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"SHEELA","56","F","OBC","89","Y","A","NULL","5319","Y","M ","S","FARMER AAY","","","","","","","","","","","","","","","","","","","","",""
"DADURAM ","58","M","OBC","89","D","P","44","NULL","NULL","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Bhagvan Das","49","M","SC","2","Y","P","12","106","Y","M ","P.G..","FARMER","","","","","","","","","","","","","","","","","","","","",""
"asha bihani","54","F","UR","90","W","A","NULL","NULL","NULL","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..hendra Patel ","37","M","OBC","2","Y","P","12","227","Y","M ","P.G.,G.","FARMER","","","","","","","","","","","","","","","","","","","","",""
"VIJAY KOCHALE","43","M","SC","89","R","P","21","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"OM PRAKASH AGARAWAL","60","M","UR","5","Y","A","NULL","3495","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"RAMBILAS AHIRWAR","35","M","SC","5","Y","P","1","281","Y","M ","G (G)","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"Dinesh","21","M","OBC","2","W","P","4","NULL","NULL","U","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"HARESH KUP.G..R ","54","M","UR","5","Y","P","7","314","Y","M ","H.S. ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"BHARTI","36","F","SC","5","Y","A","NULL","4355","Y","M ","P.G. , B.ED. , M. PHILL","NIL","","","","","","","","","","","","","","","","","","","","",""
"GLLIRAM","33","M","SC","1","Y","P","5","1500","Y","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Gdan ","45","M","SC","2","Y","P","3","201","Y","M ","G","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"SURENDRA KUP.G..R CHAURASIA","28","M","OBC","89","Y","P","4","33","Y","U","10","NIL","","","","","","","","","","","","","","","","","","","","",""
"sadashiv kushwah","46","M","OBC","2","W","A","NULL","NULL","NULL","M ","H.S.","FARMER and tant vavshay","","","","","","","","","","","","","","","","","","","","",""
"SHAHID","40","M","UR","5","W","P","39","NULL","NULL","M ","H.S. ","BUSINESS ","","","","","","","","","","","","","","","","","","","","",""
"leela Gi Pati P.G..ngal singh thekedar","46","F","OBC","89","Y","P","5","85","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ARJE KHAN","33","M","OBC","89","Y","A","NULL","245","Y","M ","P.G. LLB","Private Teacher","","","","","","","","","","","","","","","","","","","","",""
"KUSUM","48","F","UR","5","Y","P","6","647","Y","M ","H.S. CLASS","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"LAXMI GTHAM","44","F","OBC","1","Y","P","11","289","Y","M ","ILL","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SMT. RADHA SINGH","52","F","UR","89","Y","P","5","185","Y","M ","2TH","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RAJENDR","33","M","OBC","5","W","P","12","NULL","NULL","M ","H.S. ","L.I.C.AGENT","","","","","","","","","","","","","","","","","","","","",""
"SMT. ARZOO BEE","32","F","UR","89","Y","P","14","77","Y","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"MUKESH","47","M","UR","2","W","P","20","NULL","NULL","M ","P.G..","STAMP VENDOR, DEED WRITER","","","","","","","","","","","","","","","","","","","","",""
"Agnihotri Prem Devi","46","F","UR","5","Y","P","3","57","Y","M ","L","FARMER","","","","","","","","","","","","","","","","","","","","",""
"P.G..LKHAN GTHAM","30","M","OBC","2","Y","P","13","175","Y","M ","H.S.","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"lachhi kushwaha","34","F","OBC","89","Y","A","NULL","1491","Y","M ","NO","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"GEETA ","61","F","OBC","2","Y","P","1","706","Y","M ","S CLASS","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ZAHEER SHAIKH","32","M","OBC","5","Y","P","6","488","Y","M ","G","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"kariP.G..n Gi ","41","F","UR","89","Y","P","12","77","Y","M ","ILLiteracy","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"ram singh","36","M","SC","90","D","P","12","NULL","NULL","M ","S","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"ARTI","34","F","OBC","89","Y","P","35","330","Y","M ","S","SOCIAL LABOUR","","","","","","","","","","","","","","","","","","","","",""
"MOHD. SHAFKAT KHAN","43","M","OBC","5","Y","P","9","580","Y","M ","G","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"SHASHIKANT ","37","M","UR","89","Y","P","8","1","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Sardar Raghuwanshi","33","M","UR","89","Y","A","NULL","98","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"TaraNIL","26","F","UR","5","Y","P","6","133","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"RAMNIVAS TIWARI","39","M","UR","89","Y","P","40","44","Y","M ","G ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"MUKIM KHAN","49","M","UR","5","W","P","27","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"SAREEPH ","36","M","OBC","89","W","P","4","NULL","NULL","M ","H.S. ","BUSINESS PHOTO COPY BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Pawan guPta ","30","M","UR","89","Y","P","15","65","Y","M ","NIL ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"PremNILrayan","36","M","SC","2","Y","P","10","285","Y","M ","NIL","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Ramknya","49","F","UR","2","Y","P","1","166","Y","M ","I.L.h ","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"BHARTI CHAURASIA","48","F","OBC","89","Y","P","15","22","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"ARTI ","48","F","OBC","5","Y","P","12","320","Y","M ","H.S.S.C","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RAVI RAP.G..N","34","M","UR","89","Y","P","10","324","Y","U","P.G. LLB","ADVOCATE","","","","","","","","","","","","","","","","","","","","",""
"NILnda","25","F","OBC","89","Y","P","7","26","Y","M ","SPass","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"GURUSHARAN KAUR BHATIYA","54","F","UR","5","Y","P","2","187","Y","M ","H.S.","COSMETIC WORK AND DEAL IN FARMER","","","","","","","","","","","","","","","","","","","","",""
"P.G..YA DEVI","56","F","UR","5","W","A","NULL","NULL","NULL","M ","CLASS 4","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"smt. Anita shrivastv","34","F","UR","2","Y","P","2","76","Y","M ","G.","BUTI PARLER BUSINESSE","","","","","","","","","","","","","","","","","","","","",""
"ShivkuP.G..r","46","M","OBC","89","Y","P","8","143","Y","M ","G","Private Teacher","","","","","","","","","","","","","","","","","","","","",""
