"cand_NILme","age","gender","cat","Party_cd","nomi_status","candi_des","Ward_no","votes","FiNIL_lock","mStatus","Education","OccuPation","","","","","","","","","","","","","","","","","","","","",""
"mukeshdevi ","32","F","OBC","1","Y","P","34","572","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"kuldeeP khare","35","M","UR","89","W","P","39","NULL","NULL","M ","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"PushPa Devi Jayswal ","34","F","OBC","89","Y","P","9","130","Y","M ","H.S. ","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"KALYAN CHANDRA JAIN","51","M","UR","89","Y","P","6","18","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"BIJENDRA GAUD","38","M","OBC","5","D","P","15","NULL","NULL","M ","H.S.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SANJAY","41","M","OBC","89","W","P","15","NULL","NULL","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"TAPAN GOSAR","21","M","UR","2","W","P","12","NULL","NULL","U","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"ANITA","43","F","OBC","5","Y","P","49","710","Y","M ","P.G..","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ANITA ","35","F","OBC","89","Y","P","3","83","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"LAXMI","29","F","SC","89","Y","P","4","108","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"USHA ","43","F","UR","89","Y","P","10","70","Y","M ","S ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"TEJU GI RATHOD","34","F","SC","5","Y","P","5","448","Y","M ","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"KALPANIL","47","F","OBC","2","Y","P","10","111","Y","M ","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"Suneel sharP.G..","32","M","UR","2","Y","P","18","484","Y","U","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"RAM NILRESH.S.HAH","45","M","OBC","1","Y","P","29","1145","Y","M ","P ","FARMER","","","","","","","","","","","","","","","","","","","","",""
"P.G..JID KHAN","35","M","UR","89","Y","P","7","68","Y","M ","S ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"P.G..NI BHAI AHIRWAR","32	","M","SC","5","R","P","4","NULL","NULL","M ","G","NIL","","","","","","","","","","","","","","","","","","","","",""
"RanjaNIL NILgda","28","F","UR","10","Y","P","2","23","Y","U","S","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"BHARTI PARDHI","45","F","OBC","2","W","A","NULL","NULL","NULL","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"RUPSINGH","38","M","OBC","2","R","P","20","NULL","NULL","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"Moji Lal Ahirwar","62","M","SC","89","Y","P","15","10","Y","M ","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"VIDYA GTHAM","40","F","OBC","89","Y","P","18","310","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"irfan","40","M","UR","5","W","P","14","NULL","NULL","M ","P","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"P.G..NOJ SHARP.G..","41","M","UR","89","W","P","18","NULL","NULL","M ","P.G.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
